%time,field.header.seq,field.header.stamp,field.value0,field.value1,field.value2,field.value3,field.value4,field.value5,field.value6,field.value7,field.value8,field.value9,field.value10,field.value11
12034000000,238,12034000000,1500,1647,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12082000000,239,12082000000,1500,1644,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12234000000,240,12234000000,1500,1643,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12320000000,241,12320000000,1500,1641,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12352000000,242,12352000000,1500,1639,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12470000000,243,12470000000,1500,1637,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12524000000,244,12524000000,1500,1635,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12556000000,245,12556000000,1500,1633,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12604000000,246,12604000000,1500,1631,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12628000000,247,12628000000,1500,1630,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12658000000,248,12658000000,1500,1628,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12682000000,249,12682000000,1500,1627,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12698000000,250,12698000000,1500,1626,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12706000000,251,12706000000,1500,1624,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12722000000,252,12722000000,1500,1622,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12730000000,253,12730000000,1500,1620,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12752000000,254,12752000000,1500,1618,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12760000000,255,12760000000,1500,1616,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12776000000,256,12776000000,1500,1614,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12790000000,257,12790000000,1500,1613,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12822000000,258,12822000000,1500,1611,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12838000000,259,12838000000,1500,1609,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12894000000,260,12894000000,1500,1607,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12950000000,261,12950000000,1500,1605,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12972000000,262,12972000000,1500,1603,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12980000000,263,12980000000,1500,1601,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12984000000,264,12984000000,1500,1599,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
12992000000,265,12992000000,1500,1598,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13006000000,266,13006000000,1500,1598,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13014000000,267,13014000000,1500,1595,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13030000000,268,13030000000,1501,1595,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13038000000,269,13038000000,1501,1594,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13084000000,270,13084000000,1504,1594,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13124000000,271,13122000000,1505,1594,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13146000000,272,13148000000,1505,1592,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13178000000,273,13172000000,1506,1592,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13194000000,274,13194000000,1509,1592,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13230000000,275,13230000000,1510,1592,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13260000000,276,13260000000,1513,1592,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13272000000,277,13274000000,1514,1592,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13304000000,278,13304000000,1517,1592,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13320000000,279,13318000000,1518,1592,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13332000000,280,13332000000,1521,1592,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13350000000,281,13348000000,1522,1592,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13350000000,282,13350000000,1525,1592,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13382000000,283,13382000000,1526,1590,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13540000000,284,13540000000,1529,1590,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13556000000,285,13556000000,1529,1589,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13618000000,286,13618000000,1527,1589,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13642000000,287,13642000000,1527,1588,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13650000000,288,13650000000,1526,1588,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
13660000000,289,13658000000,1525,1588,1500,1500,1500,1000,1500,1500,1500,1000,1500,0
